<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
GAZP,M,01/04/18,000000,142.3900000,147.2900000,128.1900000,145.9300000,648751340
GAZP,M,01/05/18,000000,145.3300000,151.2700000,142.5200000,145.0000000,456824600
GAZP,M,01/06/18,000000,144.5800000,147.5000000,132.8600000,141.0100000,439222170
GAZP,M,01/07/18,000000,140.8300000,148.9800000,136.4200000,143.7900000,402456980
GAZP,M,01/08/18,000000,143.0000000,150.2000000,139.5000000,149.9500000,440884570
GAZP,M,01/09/18,000000,149.9500000,163.1900000,146.3900000,162.6100000,553088240
GAZP,M,01/10/18,000000,163.4300000,176.9500000,149.9000000,155.4700000,706912620
GAZP,M,01/11/18,000000,155.0900000,167.3600000,146.3000000,161.2900000,553279010
GAZP,M,01/12/18,000000,164.2000000,166.6500000,145.0200000,153.5000000,434824590
GAZP,M,01/01/19,000000,154.1300000,166.4900000,154.1100000,162.8200000,393836140
GAZP,M,01/02/19,000000,162.4700000,165.4300000,152.8200000,158.9900000,393932430
GAZP,M,01/03/19,000000,158.9200000,159.5500000,148.8300000,149.6100000,424420760
GAZP,M,01/04/19,000000,150.2700000,165.4000000,149.9200000,163.9500000,575498630
GAZP,M,01/05/19,000000,163.6700000,216.4500000,162.6200000,215.1000000,1075262070
GAZP,M,01/06/19,000000,214.4000000,251.6500000,213.5000000,232.8300000,917112280
GAZP,M,01/07/19,000000,234.1600000,256.4000000,206.0000000,236.9000000,1183106510
GAZP,M,01/08/19,000000,234.5400000,237.3400000,222.3000000,232.1500000,714271850
GAZP,M,01/09/19,000000,231.9300000,238.1700000,225.7600000,225.9000000,514222460
GAZP,M,01/10/19,000000,225.9900000,267.4000000,220.6800000,260.0000000,762874860
GAZP,M,01/11/19,000000,260.1100000,272.6800000,244.3200000,257.5400000,1493324540
GAZP,M,01/12/19,000000,258.4500000,263.4000000,244.7700000,256.4000000,849071200
GAZP,M,01/01/20,000000,259.1000000,261.9000000,226.5700000,226.7000000,941266050
GAZP,M,01/02/20,000000,223.8100000,239.8000000,200.5700000,202.6500000,1064060300
GAZP,M,01/03/20,000000,207.9900000,211.9900000,158.1700000,181.4100000,2267423190
GAZP,M,01/04/20,000000,178.0500000,196.2600000,177.5000000,190.0000000,1149784400
GAZP,M,01/05/20,000000,188.0000000,202.3000000,181.6800000,199.9500000,1117376460
GAZP,M,01/06/20,000000,200.2500000,208.1500000,190.5100000,194.3100000,947698380
GAZP,M,01/07/20,000000,195.3100000,202.3300000,179.8000000,182.5900000,840088070
GAZP,M,01/08/20,000000,182.5100000,194.6800000,180.5100000,181.0100000,763069970
GAZP,M,01/09/20,000000,181.4000000,186.2900000,169.6000000,169.9700000,1035378920
GAZP,M,01/10/20,000000,171.1800000,173.4100000,153.7000000,154.2800000,1024349870
GAZP,M,01/11/20,000000,153.9600000,189.1000000,151.9000000,181.8900000,1358047580
GAZP,M,01/12/20,000000,182.6000000,215.3800000,181.7800000,212.9800000,1602488520
GAZP,M,01/01/21,000000,212.7100000,231.4400000,210.2200000,212.8300000,1261779620
GAZP,M,01/02/21,000000,214.6100000,233.3500000,212.2400000,217.5600000,1009756230
GAZP,M,01/03/21,000000,219.3400000,238.2300000,218.2500000,227.2400000,944427050
GAZP,M,01/04/21,000000,228.4300000,237.4500000,219.6000000,231.3800000,853262960
GAZP,M,01/05/21,000000,232.2000000,268.3800000,230.9600000,261.0300000,879342720
GAZP,M,01/06/21,000000,261.9700000,281.8200000,261.5800000,281.8000000,912730080
GAZP,M,01/07/21,000000,281.8800000,298.4800000,273.1000000,287.3500000,938803890
GAZP,M,01/08/21,000000,287.8800000,307.6700000,277.8700000,305.6500000,945631030
GAZP,M,01/09/21,000000,306.6000000,364.5300000,306.1900000,360.8000000,1525970690
GAZP,M,01/10/21,000000,358.4500000,397.6400000,345.4000000,350.1800000,1592270650
GAZP,M,01/11/21,000000,350.3000000,360.0000000,310.6200000,334.2400000,1609001830
GAZP,M,01/12/21,000000,338.5700000,353.1300000,289.7800000,342.3900000,1614694140
GAZP,M,01/01/22,000000,345.0100000,358.1000000,280.6000000,334.8000000,2326513210
GAZP,M,01/02/22,000000,334.9400000,339.9800000,126.5300000,228.0000000,2515583630
GAZP,M,01/03/22,000000,251.4100000,278.9000000,206.0000000,242.4800000,333179180
GAZP,M,01/04/22,000000,245.9000000,259.9900000,201.1200000,240.4000000,644243080
GAZP,M,01/05/22,000000,241.0100000,305.0000000,227.2200000,293.7500000,673649490
GAZP,M,01/06/22,000000,293.5100000,322.9900000,200.0000000,207.0000000,899752640
GAZP,M,01/07/22,000000,200.8400000,205.7800000,181.2000000,195.2600000,840519840
GAZP,M,01/08/22,000000,194.5000000,275.9600000,172.2900000,254.9000000,814147380
GAZP,M,01/09/22,000000,258.0000000,259.8500000,189.4200000,217.7000000,1537265390
GAZP,M,01/10/22,000000,219.0000000,220.5500000,137.1000000,170.2700000,807788870
GAZP,M,01/11/22,000000,170.8900000,172.0000000,161.7900000,167.7000000,348461150
GAZP,M,01/12/22,000000,168.0000000,168.7600000,156.5000000,162.5600000,312686550
GAZP,M,01/01/23,000000,163.0200000,167.1900000,156.7100000,158.1000000,268690020
GAZP,M,01/02/23,000000,158.3400000,163.9600000,150.6000000,157.6600000,373408030
GAZP,M,01/03/23,000000,158.0000000,177.2500000,157.9900000,170.9500000,723880330